loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-11-24 13:32:54.277 +0200,49,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.142491625,-0.0027008056640625,-0.181182861328125,-0.97540283203125
2018-11-24 13:32:54.325 +0200,50,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.202033625,-0.0137481689453125,-0.1489410400390625,-0.9864654541015624
2018-11-24 13:32:54.385 +0200,51,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.261576625,-0.018218994140625,-0.1336669921875,-1.040512084960938
2018-11-24 13:32:54.444 +0200,52,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.321118625,0.0033111572265625,-0.1396484375,-1.010848999023438
2018-11-24 13:32:54.519 +0200,53,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.380661625,-0.0123138427734375,-0.1262664794921875,-1.031494140625
2018-11-24 13:32:54.563 +0200,54,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.440203625,-0.0189208984375,-0.1170806884765625,-1.030853271484375
2018-11-24 13:32:54.623 +0200,55,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.499746625,-0.0067291259765625,-0.13897705078125,-0.97503662109375
2018-11-24 13:32:54.685 +0200,56,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.559289625,-0.016326904296875,-0.15008544921875,-1.030014038085938
2018-11-24 13:32:54.756 +0200,57,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.618831625,-0.010498046875,-0.1709136962890625,-0.9454498291015624
2018-11-24 13:32:54.801 +0200,58,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.678374625,0.0255889892578125,-0.1944122314453125,-0.905487060546875
2018-11-24 13:32:54.861 +0200,59,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.737916625,0.0089569091796875,-0.1725921630859375,-0.965667724609375
2018-11-24 13:32:54.920 +0200,60,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.797459625,0.002960205078125,-0.184661865234375,-0.9994049072265624
2018-11-24 13:32:54.999 +0200,61,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.857001625,0.000732421875,-0.17852783203125,-1.02264404296875
2018-11-24 13:32:55.040 +0200,62,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.916544625,0.0233154296875,-0.189849853515625,-1.019012451171875
2018-11-24 13:32:55.100 +0200,63,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141864.976087625,0.01678466796875,-0.1956939697265625,-1.038925170898438
2018-11-24 13:32:55.160 +0200,64,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.035629625,-0.00396728515625,-0.179656982421875,-0.982666015625
2018-11-24 13:32:55.233 +0200,65,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.095172625,0.025421142578125,-0.190399169921875,-0.966583251953125
2018-11-24 13:32:55.278 +0200,66,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.1547165,-0.00799560546875,-0.198699951171875,-0.979278564453125
2018-11-24 13:32:55.337 +0200,67,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.2142595,0.0063323974609375,-0.174102783203125,-0.9366912841796876
2018-11-24 13:32:55.398 +0200,68,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.2738015,0.00091552734375,-0.24346923828125,-0.91619873046875
2018-11-24 13:32:55.474 +0200,69,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.3333445,-0.01031494140625,-0.2385711669921875,-0.9570465087890624
2018-11-24 13:32:55.518 +0200,70,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.3928875,-0.0207366943359375,-0.248992919921875,-1.012451171875
2018-11-24 13:32:55.576 +0200,71,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.4524295,-0.045867919921875,-0.237091064453125,-1.06390380859375
2018-11-24 13:32:55.638 +0200,72,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.51197249998,-0.0367584228515625,-0.2149658203125,-1.052413940429688
2018-11-24 13:32:55.695 +0200,73,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.57151449998,-0.0211181640625,-0.2012176513671875,-1.018829345703125
2018-11-24 13:32:55.754 +0200,74,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.6310575,-0.010040283203125,-0.2050323486328125,-0.9375762939453124
2018-11-24 13:32:55.814 +0200,75,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.6905995,-0.0359039306640625,-0.20721435546875,-0.95977783203125
2018-11-24 13:32:55.875 +0200,76,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.7501425,-0.0556640625,-0.1903076171875,-0.9001922607421875
2018-11-24 13:32:55.936 +0200,77,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.8096855,-0.0178375244140625,-0.1434783935546875,-0.9254608154296876
2018-11-24 13:32:55.992 +0200,78,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.86922750002,-0.07928466796875,-0.1242218017578125,-0.9880828857421876
2018-11-24 13:32:56.052 +0200,79,1543059174.999868,60.18404746899398,24.82884784231412,7.931885,2.97,4,5.0,141865.9287705,-0.0845489501953125,-0.1316375732421875,-1.032257080078125
2018-11-24 13:32:56.117 +0200,80,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141865.9883125,-0.0953826904296875,-0.143585205078125,-0.9890289306640624
2018-11-24 13:32:56.171 +0200,81,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.04785550002,-0.071929931640625,-0.171234130859375,-0.9954833984375
2018-11-24 13:32:56.231 +0200,82,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.1073975,-0.0857696533203125,-0.1685333251953125,-0.96820068359375
2018-11-24 13:32:56.290 +0200,83,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.1669389167,-0.1279754638671875,-0.16973876953125,-0.9560546875
2018-11-24 13:32:56.357 +0200,84,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.2264819167,-0.0733489990234375,-0.148651123046875,-1.014572143554688
2018-11-24 13:32:56.409 +0200,85,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.2860239167,-0.1030731201171875,-0.151763916015625,-0.8784637451171875
2018-11-24 13:32:56.469 +0200,86,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.3455669167,-0.08544921875,-0.11846923828125,-1.058868408203125
2018-11-24 13:32:56.528 +0200,87,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.4051089167,-0.096282958984375,-0.1717071533203125,-1.000579833984375
2018-11-24 13:32:56.595 +0200,88,1543059175.999872,60.18405668908747,24.828789168991925,7.983459,3.47,6,5.0,141866.4646519167,-0.0523681640625,-0.1482696533203125,-1.00347900390625
